rev_Mean,mou_Mean,totmrc_Mean,da_Mean,ovrmou_Mean,ovrrev_Mean,vceovr_Mean,datovr_Mean,roam_Mean,change_mou,change_rev,drop_vce_Mean,drop_dat_Mean,blck_vce_Mean,blck_dat_Mean,unan_vce_Mean,unan_dat_Mean,plcd_vce_Mean,plcd_dat_Mean,recv_vce_Mean,recv_sms_Mean,comp_vce_Mean,comp_dat_Mean,custcare_Mean,ccrndmou_Mean,cc_mou_Mean,inonemin_Mean,threeway_Mean,mou_cvce_Mean,mou_cdat_Mean,mou_rvce_Mean,owylis_vce_Mean,mouowylisv_Mean,iwylis_vce_Mean,mouiwylisv_Mean,peak_vce_Mean,peak_dat_Mean,mou_peav_Mean,mou_pead_Mean,opk_vce_Mean,opk_dat_Mean,mou_opkv_Mean,mou_opkd_Mean,drop_blk_Mean,attempt_Mean,complete_Mean,callfwdv_Mean,callwait_Mean,churn,months,uniqsubs,actvsubs,new_cell,crclscod,asl_flag,totcalls,totmou,totrev,adjrev,adjmou,adjqty,avgrev,avgmou,avgqty,avg3mou,avg3qty,avg3rev,avg6mou,avg6qty,avg6rev,prizm_social_one,area,dualband,refurb_new,hnd_price,phones,models,hnd_webcap,truck,rv,ownrent,lor,dwlltype,marital,adults,infobase,income,numbcars,HHstatin,dwllsize,forgntvl,ethnic,kid0_2,kid3_5,kid6_10,kid11_15,kid16_17,creditcd,eqpdays,Customer_ID,proba_churn,prediction
10.0,146.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666667,0.0,1.0,0.0,2.666666667,0.0,40.0,0.0,6.333333333,0.0,36.0,0.0,0.0,0.0,0.0,3.666666667,0.0,90.39,0.0,14.95333333,11.0,17.7,1.666666667,2.033333333,35.33333333,0.0,87.94333333,0.0,6.666666667,0.0,17.40333333,0.0,1.666666667,40.0,36.0,0.0,0.0,0,22,2,2,Y,AA,N,1604,6693.0,933.16,879.33,6658.0,1599,41.87,317.05,76.14,146,44,10,178.0,51.0,16.0,S,MIDWEST AREA,N,N,79.98999023,1.0,1.0,WC,0.0,0.0,O,,,S,1.0,M,9.0,1.0,C,,0.0,D,U,U,U,U,U,Y,683.0,1024382,0.4201190482576661,0
62.71,482.0,49.99,0.495,40.75,12.225,12.225,0.0,0.0,-52.0,-10.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,1,1,U,BA,N,1696,5337.0,750.69,670.71,5302.0,1678,67.07,530.2,167.8,499,167,66,497.0,160.0,62.0,R,DC/MARYLAND/VIRGINIA AREA,Y,N,79.98999023,1.0,1.0,WCMB,0.0,0.0,O,7.0,,A,2.0,M,4.0,,I,,0.0,Z,U,U,U,U,U,Y,348.0,1065998,0.6077116898739972,1
36.94,121.0,39.99,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.05,1.666666667,0.0,0.666666667,0.0,24.33333333,0.0,64.33333333,0.0,10.66666667,0.0,38.0,0.0,0.0,0.0,0.0,4.333333333,0.0,60.41666667,0.0,17.10666667,1.0,0.363333333,0.0,0.0,44.66666667,0.0,72.38666667,0.0,3.666666667,0.0,5.136666667,0.0,2.333333333,64.33333333,38.0,0.0,0.0,0,7,1,1,Y,E4,Y,200,463.0,328.12,309.14,463.0,200,61.83,92.6,40.0,117,51,36,,,,T,ATLANTIC SOUTH AREA,N,N,129.9899902,1.0,1.0,WCMB,0.0,0.0,O,12.0,,M,1.0,M,7.0,,B,,0.0,N,U,U,U,U,U,N,182.0,1097592,0.17294298447470643,0
54.8675,22.0,59.99,0.0,0.0,0.0,0.0,0.0,0.8775,-15.0,-0.8775,0.666666667,0.0,1.0,0.0,1.0,0.0,13.33333333,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,1.666666667,0.0,8.126666667,0.0,0.79,0.0,0.0,0.0,0.0,5.333333333,0.0,4.936666667,0.0,7.333333333,0.0,3.98,0.0,1.666666667,13.33333333,11.0,0.0,0.0,1,11,1,1,U,BA,N,739,1252.0,629.36,549.38,1229.0,725,54.94,122.9,72.5,27,20,55,87.0,50.0,56.0,T,NORTH FLORIDA AREA,T,N,99.98999023,1.0,1.0,WCMB,1.0,0.0,O,1.0,S,S,2.0,M,6.0,2.0,C,A,0.0,N,U,U,U,U,U,Y,333.0,1076113,0.8769398162244285,1
55.54,411.25,10.0,0.2475,178.5,44.625,44.625,0.0,0.195,-156.25,-12.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9,3,2,N,A,N,1451,2992.0,307.62,243.26,2699.0,1314,34.75,385.57,187.71,463,213,60,419.0,200.0,39.0,T,ATLANTIC SOUTH AREA,Y,N,149.9899902,1.0,1.0,WCMB,0.0,0.0,,2.0,M,A,2.0,M,6.0,,I,G,0.0,N,U,U,U,U,U,Y,258.0,1070023,0.5816222749265512,1
40.13333333,35.0,46.5,0.0,0.0,0.0,0.0,0.0,0.0,32.0,-5.143333333,0.333333333,0.0,0.0,0.0,1.0,0.0,10.0,0.0,3.666666667,0.0,9.0,0.0,0.0,0.0,0.0,1.333333333,0.0,19.71333333,0.0,6.203333333,0.0,0.0,0.0,0.0,9.333333333,0.0,24.23333333,0.0,2.666666667,0.0,1.683333333,0.0,0.333333333,10.0,9.0,0.0,0.0,0,31,1,1,U,A,N,247,541.0,1190.0,1140.0,531.0,242,49.57,23.09,10.52,13,6,46,19.0,8.0,48.0,S,LOS ANGELES AREA,N,N,29.98999023,1.0,1.0,,0.0,0.0,O,9.0,S,U,2.0,M,9.0,1.0,B,A,0.0,N,U,U,U,U,U,Y,935.0,1098785,0.4003159779183711,0
50.48,104.5,50.0,0.0,0.0,0.0,0.0,0.0,0.48,-65.5,-0.48,1.0,0.0,10.66666667,0.0,2.666666667,0.0,43.66666667,0.0,24.33333333,0.0,30.0,0.0,1.0,5.666666667,5.073333333,12.33333333,0.333333333,33.12666667,0.0,44.96333333,11.33333333,4.596666667,11.66666667,18.72,18.0,0.0,22.31666667,0.0,35.66666667,0.0,55.77333333,0.0,11.66666667,43.66666667,30.0,0.0,0.0,1,23,1,1,U,AA,N,4203,8926.0,1295.54,1146.27,8212.0,3952,54.58,391.05,188.19,126,77,51,151.0,83.0,51.0,T,ATLANTIC SOUTH AREA,Y,R,129.9899902,3.0,2.0,WCMB,0.0,0.0,O,5.0,S,U,2.0,M,8.0,2.0,C,A,0.0,O,U,U,U,U,U,Y,137.0,1023967,0.6072255055243344,1
30.27,279.5,30.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,-0.27,2.0,0.0,5.333333333,0.0,36.33333333,0.0,121.6666667,0.0,45.0,0.0,79.66666667,0.0,0.0,0.0,0.0,19.33333333,0.0,87.96666667,0.0,70.12333333,0.666666667,0.18,0.0,0.0,87.33333333,0.0,108.4833333,0.0,35.66666667,0.0,49.60666667,0.0,7.333333333,121.6666667,79.66666667,0.0,0.666666667,1,19,1,1,U,ZA,N,1751,2529.0,363.09,333.09,2443.0,1692,30.28,222.09,153.82,262,166,31,238.0,161.0,31.0,S,NORTH FLORIDA AREA,Y,N,149.9899902,2.0,1.0,WCMB,0.0,0.0,,,,U,,,,,,,0.0,H,U,U,U,U,U,N,436.0,1031627,0.6029063581788493,1
37.1975,536.0,44.99,0.0,5.75,2.0125,2.0125,0.0,0.195,-223.0,-2.2075,2.0,0.0,17.0,0.0,10.66666667,0.0,178.0,0.0,48.66666667,0.0,149.3333333,0.0,0.0,0.0,0.0,15.33333333,0.0,237.8866667,0.0,170.6866667,41.0,27.40333333,8.333333333,9.626666667,98.0,0.0,182.51,0.0,99.0,0.0,226.0633333,0.0,19.0,178.0,149.3333333,0.0,5.333333333,0,18,1,1,U,DA,N,2852,7562.0,774.39,714.41,7560.0,2851,42.02,444.71,167.71,610,217,38,579.0,189.0,36.0,T,CHICAGO AREA,Y,N,149.9899902,1.0,1.0,WCMB,0.0,0.0,O,10.0,S,S,5.0,M,4.0,,,A,1.0,U,U,U,U,U,U,Y,541.0,1052368,0.5837756580332203,1
40.2375,184.5,44.99,0.2475,0.0,0.0,0.0,0.0,0.0,37.5,-0.2475,1.0,0.0,0.666666667,0.0,9.0,0.0,63.33333333,0.0,7.0,0.0,52.66666667,0.0,0.333333333,2.666666667,2.406666667,1.333333333,0.0,118.0833333,0.0,19.76,4.666666667,6.016666667,0.0,0.0,50.66666667,0.0,109.5166667,0.0,9.0,0.0,28.32333333,0.0,1.666666667,63.33333333,52.66666667,0.0,0.333333333,0,15,1,1,U,DA,N,364,2018.0,637.49,566.46,2004.0,362,40.46,143.14,25.86,172,59,40,126.0,39.0,41.0,R,NORTH FLORIDA AREA,Y,N,149.9899902,1.0,1.0,WCMB,0.0,0.0,,,,U,1.0,M,,,A,,0.0,N,U,U,U,U,U,N,445.0,1050948,0.48964174394754034,0
62.0525,599.25,41.325,1.98,59.5,23.7475,21.7,2.0475,0.0,133.75,60.6775,0.0,0.0,4.666666667,0.0,43.33333333,0.0,152.6666667,2.333333333,45.66666667,0.0,104.6666667,2.333333333,13.33333333,30.0,20.88,21.66666667,0.0,95.98333333,1.11,99.17333333,11.66666667,16.83333333,7.666666667,12.09666667,68.0,0.666666667,91.97666667,0.966666667,82.33333333,1.666666667,103.18,0.143333333,4.666666667,155.0,107.0,0.0,0.666666667,0,7,2,1,U,EA,Y,2188,4771.0,376.36,311.87,4502.0,2045,62.37,900.4,409.0,555,250,42,,,,C,MIDWEST AREA,N,N,129.9899902,3.0,3.0,WCMB,0.0,0.0,,,,U,,,,,,,0.0,G,U,U,U,U,U,N,80.0,1097584,0.32522199889796743,0
22.695,25.75,23.58,0.0,0.0,0.0,0.0,0.0,1.615,-0.75,-1.285,0.666666667,0.0,0.333333333,0.0,0.0,0.0,12.33333333,0.0,2.666666667,0.0,11.33333333,0.0,0.0,0.0,0.0,2.0,0.0,12.22666667,0.0,3.12,4.0,5.143333333,1.666666667,2.59,12.0,0.0,13.61666667,0.0,2.0,0.0,1.73,0.0,1.0,12.33333333,11.33333333,0.0,0.0,0,10,1,1,U,AA,N,207,653.0,356.2,290.19,650.0,204,32.24,72.22,22.67,26,13,23,83.0,24.0,31.0,C,MIDWEST AREA,Y,R,39.98999023,1.0,1.0,WCMB,1.0,0.0,O,7.0,S,M,2.0,M,8.0,2.0,C,A,0.0,N,U,U,U,U,U,Y,299.0,1085477,0.3466316322937075,0
